Country,Population,O+,A+,B+,AB+,O?,A?,B?,AB?
Ireland,4749263,0.47,0.26,0.09,0.02,0.08,0.05,0.02,0.01
Mauritius,1267303,0.383,0.26,0.25,0.067,0.017,0.01,0.01,0.003
Taiwan,23234936,0.439,0.259,0.239,0.06,0.0017,0.001,0.0001,0.0002
Indonesia,263519317,0.3682,0.2587,0.2885,0.0796,0.0018,0.0013,0.0015,0.0004
Kenya,48470780,0.456,0.252,0.2128,0.042,0.018,0.01,0.009,0.0002
Iraq,38657787,0.321,0.25,0.256,0.074,0.036,0.027,0.027,0.009
Egypt,95220838,0.52,0.24,0.124,0.038,0.05,0.02,0.006,0.002
Saudi Arabia,32744532,0.478,0.239,0.17,0.04,0.04,0.02,0.01,0.003
Singapore,5784819,0.436,0.239,0.244,0.06,0.009,0.007,0.004,0.001
Myanmar,53507932,0.357,0.238,0.327,0.0695,0.003,0.002,0.003,0.0005
El Salvador,6171483,0.62,0.23,0.11,0.01,0.01,0.01,0.007,0.003
Jamaica,2813316,0.47,0.23,0.2,0.03,0.035,0.02,0.01,0.005
Cote d Ivoire,23869656,0.465,0.225,0.225,0.043,0.02,0.01,0.01,0.002
Nigeria,191851411,0.513,0.224,0.207,0.026,0.016,0.007,0.006,0.001
United Arab Emirates,3398017,0.441,0.219,0.209,0.043,0.043,0.021,0.02,0.004
Vietnam,95414640,0.417,0.219,0.308,0.0498,0.003,0.001,0.002,0.0002
Guinea,13291741,0.4688,0.2164,0.2286,0.0452,0.02,0.009,0.01,0.002
Bangladesh,164833667,0.3118,0.2144,0.3458,0.0885,0.0139,0.0096,0.0096,0.0064
India,1342561902,0.2785,0.208,0.3814,0.0893,0.0143,0.0057,0.0179,0.0049
Pakistan,180440005,0.2463,0.206,0.344,0.0952,0.0417,0.0266,0.0357,0.0045
Bahrain,1418695,0.4848,0.1935,0.2261,0.0367,0.0327,0.0133,0.0104,0.0025
Zimbabwe,16642880,0.633,0.185,0.146,0.0099,0.017,0.005,0.004,0.0001
Peru,32167717,0.7,0.184,0.078,0.016,0.014,0.005,0.0028,0.0002
Thailand,68298027,0.408,0.169,0.368,0.0497,0.002,0.001,0.002,0.0003
Ecuador,16665756,0.75,0.14,0.071,0.005,0.0238,0.007,0.003,0.0002
Chile,18314060,0.855,0.087,0.0335,0.01,0.012,0.001,0.0005,0.001
